Garment+Artifact+Object+Group	131	noun.artifact
Garment+Artifact+Object+Part	164	noun.artifact
GeopoliticalPlace+Object+Artifact	1201	noun.location
Group	25	noun.group
Group+Object	110	noun.group
Group+Object+Living	20	noun.group
Group+Object+Natural	14	noun.group
Human+Object	5005	noun.person
Human+Object+Group	1781	noun.person
Human+Object+Occupation	2790	noun.person
Human+Object+Part	180	noun.body
Imagerepresentation+Artifact+Object	536	noun.artifact
Instrument+Artifact+Object	1925	noun.artifact
Instrument+Artifact+Object+Group	116	noun.artifact
Instrument+Artifact+Object+Part	306	noun.artifact
LanguageRepresentation+Artifact+Object	2829	noun.communication
LanguageRepresentation+Artifact+Object+Group	87	noun.communication
LanguageRepresentation+Artifact+Object+Part	162	noun.communication
Liquid	14	noun.substance
Liquid+Artifact	138	noun.artifact
Liquid+Natural	118	noun.substance
Living+Object	93	noun.object
MoneyRepresentation	224	noun.artifact
Natural+Group	28	noun.object
Natural+Object	201	noun.object
Natural+Object(+BodyPart)	733	noun.body
Natural+Object+Part	150	noun.object
noun.food	804	noun.substance
Natural+Substance+Part	74	noun.substance
Object	86	noun.object
Object+Part	97	noun.object
Part	30	noun.object
Place	5	noun.location
Place+Liquid+Natural	52	noun.location
Place+Object	780	noun.location
Place+Object+Artifact	536	noun.location
Place+Object+Artifact+Part	123	noun.artifact
Place+Object+Group	13	noun.location
Place+Object+Natural	375	noun.location
Place+Object+Natural+Part	65	noun.location
Place+Object+Part	61	noun.location
Plant+Group	79	noun.plant
Plant+Object	949	noun.plant
Plant+Object+Comestible	136	noun.food; noun.plant
Plant+Object+Part	302	noun.plant
Plant+Object+Part+Comestible	324	noun.food; noun.plant
Property	2061	noun.attribute; adj.all
Property+Existence	29	noun.attribute; adj.phys
Property+LanguageRepresentation	6	noun.attribute; adj.phys
Property+Location	27	noun.location; adj.phys
Property+Mental	999	noun.feeling; adj.mental
Property+Physical	990	noun.phenomenon; adj.phys
Property+Physical+Colour	390	noun.attribute; adj.phys
Property+Physical+Condition	536	noun.disease; adj.phys
Property+Physical+Form	181	noun.shape; adj.phys
Property+Social	431	noun.attribute; adj.social
Property+Stimulating+Physical	6	noun.phenomenon; adj.phys
Property+Time	136	noun.time; adj.time
Relation	19	noun.relation
Relation+Location	1	noun.relation
Relation+Possession	8	noun.relation
Representation	7	noun.artifact
Software	1	noun.artifact
Static	244	noun.state;verb.static
Static+Existence	17	noun.state; verb.static
Static+Location	83	noun.state; verb.static
Static+Mental	11	noun.state; verb.static
Static+Relation	29	noun.relation; verb.static
Static+Social	16	noun.state; verb.static
Substance	236	noun.substance
UnboundedEvent	139	noun.event; verb.phenomenon
UnboundedEvent+Agentive	292	noun.act; verb.act
UnboundedEvent+Agentive+Communication+Social	783	noun.communication; verb.communication
UnboundedEvent+Agentive+Existence	89	noun.act; verb.act
UnboundedEvent+Agentive+Mental	330	noun.cognition; verb.cognition
UnboundedEvent+Agentive+Physical	255	noun.act; verb.act
UnboundedEvent+Agentive+Physical+Location	270	noun.act; verb.motion
UnboundedEvent+Agentive+Physical+Purpose	462	noun.act;verb.act
UnboundedEvent+Agentive+Physical+Social	274	noun.act; verb.social
UnboundedEvent+Agentive+Purpose	430	noun.act; verb.act
UnboundedEvent+Cause	86	noun.act; verb.phenomenon
UnboundedEvent+Cause+Physical	113	noun.act; verb.change
UnboundedEvent+Cause+Physical+Location	380	noun.act; verb.motion
UnboundedEvent+Communication+Purpose+Social	327	noun.communication; verb.communication
UnboundedEvent+Experience+Physical	159	noun.phenomenon; verb.phenomenon
UnboundedEvent+Mental	163	noun.feeling; verb.emotion
UnboundedEvent+Phenomenal	155	noun.phenomenon; verb.phenomenon
UnboundedEvent+Phenomenal+Physical	647	noun.phenomenon; verb.phenomenon
UnboundedEvent+Physical+Location	89	noun.location; verb.motion
UnboundedEvent+Social	46	noun.relation; verb.social
UnboundedEvent+Time	9	noun.time
Underspecified	110	noun.TOP
Vehicle+Object+Artifact	641	noun.vehicle
Vehicle+Object+Artifact+Group	24	noun.vehicle
Vehicle+Object+Artifact+Part	245	noun.artifact
